gate,pass
all_100_pairs_complete,True
all_10_pairs_per_task_complete,True
all_200_rollouts_complete,True
PhaseRoute_success_rate_at_least_0_75,True
PhaseRoute_minus_A1_success_rate_at_least_minus_0_05,True
PhaseRoute_minus_A1_successes_each_task_at_least_minus_2,True
task_stratified_bootstrap_lower_bound_at_least_minus_0_10,True
PhaseRoute_early_exit_call_fraction_at_least_0_10,True
all_10_tasks_have_nonzero_PhaseRoute_early_exit_calls,True
PhaseRoute_safe_clusters_at_least_60,True
PhaseRoute_safe_clusters_each_task_at_least_2,True
false_safe_cluster_exact_CP_UCB95_at_most_0_05,True
false_full_action_clusters_at_most_2,True
false_gripper_calls_equal_0,True
severe_false_full_action_clusters_equal_0,True
ensemble_head_range_above_1e_6_rows_fraction_at_least_0_01,True
measured_FM_calls_per_policy_call_reduction_at_least_0_25,True
always_defer_rejected,True
